accident	事故
flood	洪水
flower	花
flute	长笛
folly	蠢事
foot	脚
football	足球
forest	森林
found	创立
fountain	喷泉
fun	乐趣
funeral	葬礼
garden	花园
gasp	喘气
gave	递给
girl	女孩
glass	玻璃
goldfish	金鱼
gong	锣
gratitude	感激
grew	增长
grief	悲伤
grievance	委屈
guard	警卫
guilt	内疚
gum	口香糖
gunshot	枪声
hailstorm	冰雹
hair	头发
hairbrush	发刷
hall	大厅
ham	火腿
hamster	仓鼠
hand	手
handshake	握手
harmonica	口琴
harp	竖琴
hawk	鹰
heavy	重的
held	握住
helped	帮助
heredity	遗传
heroism	英雄主义
highway	高速公路
hiked	登山
hoe	锄头
home	家
honey	蜂蜜
honeymoon	蜜月
hope	希望
horse	马
hospital	医院
hotel	酒店
hurricane	飓风
hygiene	卫生
ice	冰
infinity	无限
injured	受伤
insult	侮辱
intellect	智力
interviewed	采访
ire	愤怒
irony	讽刺
island	岛
ivy	常春藤
jam	果酱
jaw	下颌
jealousy	妒忌
joke	玩笑
journalist	记者
joviality	愉快
joy	喜悦
judge	法官
jungle	丛林
jury	陪审团
ketchup	番茄酱
key	钥匙
keyboard	键盘
kicked	踢到
kiss	吻
kitchen	厨房
knowledge	知识
lab	实验室
lake	湖
landed	降落
landslide	滑坡
laughed	笑了
law	法律
lawyer	律师
left	左边
leg	腿
legality	合法性
lightning	闪电
liked	喜欢
lip	嘴唇
listened (to)	听
lived	居住
loan	贷款
long	长
lost	丢失
love	爱
luck	运气
lust	欲望
magazine	杂志
majority	大众
malice	恶意
man	男子
mandolin	曼陀林
marched	游行
mayor	市长
medicine	药品
meeting	会议
megaphone	扩音器
mercy	仁慈
met	遇见
minister	部长
mob	暴徒
monkey	猴子
moose	驼鹿
moral	道德
morning	早晨
mosquito	蚊子
motive	动机
mountain	山
mouse	老鼠
mouth	嘴
muscle	肌肉
mushroom	蘑菇
mustard	芥末
mystery	神秘
negotiated	协商
new	新的
newspaper	报纸
night	夜晚
nose	鼻子
noun	名词
number	数字
oak	橡树
office	办公室
old	老的
opened	打开
optimism	乐观主义
oration	演说
pan	平底锅
parade	游行
paradox	悖论
parent	父母
park	公园
party	派对
patent	专利
patient	病人
pea	豌豆
peace	和平
pen	钢笔
pencil	铅笔
penguin	企鹅
perjury	伪证
piano	钢琴
pie	馅饼
pig	猪
pilot	飞行员
pineapple	菠萝
plane	飞机
planned	计划
played	玩
plea	恳求
plot	阴谋
plum	李子
policeman	警察
politician	政治家
power	力量
prairie	草原
priest	牧师
prison	监狱
problem	问题
protest	抗议
pumpkin	南瓜
put	摆放
quantity	数量
radish	萝卜
rake	耙子
rally	拉力赛
ran	跑
raspberry	覆盆子
read	读
reality	现实
reporter	记者
restaurant	餐厅
ricochet	跳弹
riot	暴动
river	河
rocket	火箭
role	角色
rose	玫瑰
rum	朗姆酒
rumor	谣言
sailboat	帆船
salmon	三文鱼
sandpaper	砂纸
satire	讽刺
saw	看
saxophone	萨克斯管
school	学校
scientist	科学家
scissors	剪刀
scooter	踏板车
scream	惊叫声
semester	学期
shame	耻辱
shelves	货架
shiny	闪亮的
shoulder	肩膀
shouted	喊叫
sin	罪
sled	雪橇
slept	睡觉
small	小的
snake	蛇
snub	冷落
soccer	足球
soldier	士兵
spaghetti	意大利面
spatula	抹刀
speech	演讲
spoke (to)	说
spring	春天
squeal	尖叫声
stapler	订书机
stayed	逗留
stole	偷窃
stone	石头
store	店铺
storm	暴风雨
street	街道
student	学生
submarine	潜艇
subway	地铁
sum	总和
summer	夏天
sun	太阳
survived	幸存
sympathy	同情心
symphony	交响乐
table	桌子
tangerine	柑橘
tax	税收
tea	茶
teacher	教师
team	团队
television	电视
testimony	证词
theater	剧院
theme	主题
theory	理论
threw	抛出
thunder	雷声
ticket	票
tiger	老虎
tobacco	烟草
toe	脚趾
tomato	番茄
took	拿
torment	折磨
tornado	龙卷风
tourist	游客
train	火车
treaty	条约
tree	树
trial	审判
tribute	贡品
trombone	长号
truce	休战
truck	卡车
trumpet	喇叭
trust	信任
truth	真相
tuba	大号
tulip	郁金香
turtle	乌龟
umbrella	雨伞
used	使用
vacation	假期
van	货车
verb	动词
vice	恶习
victim	受害者
visited	访问
volcano	火山
voter	选民
walked	走
wanted	想
watched	观察
water	水
went	去
whale	鲸
whine	抱怨
whole	所有的
window	窗户
winter	冬天
wit	机智
witness	目击者
woe	灾难
woman	女士
wonder	奇迹
worked	劳动
worker	工人
worth	价值
wrote	写下
xylophone	木琴
year	年
yellow	黄色的
young	年轻人
zone	区域
zoo	动物园
